date,year,week_num,album,artist,meta_score,user_score
"October 31, 2000",2000,44,Stankonia,Outkast,95,88
"May 2, 2000",2000,18,XTRMNTR,Primal Scream,90,88
"May 2, 2000",2000,18,Bachelor No 2 or the last remains of the dodo,Aimee Mann,89,86
"October 24, 2000",2000,43,Stories from the City Stories from the Sea,PJ Harvey,88,89
"November 21, 2000",2000,47,Mass Romantic,The New Pornographers,87,88
"June 6, 2000",2000,23,Transcendental Blues,Steve Earle,86,84
"May 2, 2000",2000,18,All Hands On The Bad One,Sleater-Kinney,86,85
"August 8, 2000",2000,32,Greatest Hits The Evidence,Ice-T,85,0
"April 4, 2000",2000,14,Dongs of Sevotion,Smog,85,86
"May 16, 2000",2000,20,Supermodified,Amon Tobin,85,88
"July 21, 2000",2000,29,Bow Down To The Exit Sign,David Holmes,84,88
"June 20, 2000",2000,25,Mwng,Super Furry Animals,84,86
"September 12, 2000",2000,37,Lift Your Skinny Fists Like Antennas to Heaven,Godspeed You! Black Emperor,84,90
"February 8, 2000",2000,6,Nixon,Lambchop,84,68
"February 22, 2000",2000,8,And Then Nothing Turned Itself Inside-Out,Yo La Tengo,83,86
"January 25, 2000",2000,4,I Am Shelby Lynne,Shelby Lynne,83,88
"October 17, 2000",2000,42,Unreasonable Behavior,Laurent Garnier,83,86
"April 11, 2000",2000,15,Come to Where Im From,Joseph Arthur,83,83
"May 30, 2000",2000,22,Mermaid Avenue Vol II,Billy Bragg Wilco,82,77
"July 4, 2000",2000,27,Mad for Sadness,Arab Strap,82,0
"August 15, 2000",2000,33,Public Domain Songs From the Wild Land,Dave Alvin,82,80
"April 18, 2000",2000,16,Discovery of a World Inside the Moone,The Apples In Stereo,82,78
"June 13, 2000",2000,24,The Moon Antarctica,Modest Mouse,82,89
"April 18, 2000",2000,16,Good Looking Blues,Laika,82,0
"April 18, 2000",2000,16,Figure 8,Elliott Smith,81,88
"November 7, 2000",2000,45,The Sophtware Slump,Grandaddy,81,88
"April 18, 2000",2000,16,The Noise Made By People,Broadcast,81,82
"March 21, 2000",2000,12,The Covers Record,Cat Power,81,83
"October 3, 2000",2000,40,Kid A,Radiohead,80,89
"September 19, 2000",2000,38,Music,Madonna,80,86
"November 7, 2000",2000,45,Everything Nothing,David Sylvian,80,78
"November 21, 2000",2000,47,The W,Wu-Tang Clan,80,82
"November 21, 2000",2000,47,Mamas Gun,Erykah Badu,80,88
"September 5, 2000",2000,36,Private Suit,Bettie Serveert,80,0
"September 5, 2000",2000,36,With Ghost,Damon Naomi,80,0
"June 6, 2000",2000,23,Sound of Water,Saint Etienne,80,72
"October 17, 2000",2000,42,American III Solitary Man,Johnny Cash,80,87
"August 1, 2000",2000,31,Thirteen Tales From Urban Bohemia,The Dandy Warhols,80,86
"October 31, 2000",2000,44,All That You Cant Leave Behind,U2,79,82
"October 24, 2000",2000,43,In The Mode,Roni SizeReprazent,79,0
"October 24, 2000",2000,43,Whoa Nelly!,Nelly Furtado,79,89
"March 7, 2000",2000,10,Broken By Whispers,Trembling Blue Stars,78,0
"December 5, 2000",2000,49,Renegades,Rage Against the Machine,78,84
"August 1, 2000",2000,31,Rancid 2000,Rancid,78,88
"November 14, 2000",2000,46,Lovers Rock,Sade,78,88
"May 23, 2000",2000,21,The Marshall Mathers LP,Eminem,78,90
"June 6, 2000",2000,23,Elephant Shoe,Arab Strap,78,0
"October 3, 2000",2000,40,The Hour of Bewilderbeast,Badly Drawn Boy,78,87
"September 19, 2000",2000,38,Friends of Rachel Worth,The Go-Betweens,77,80
