date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"September 14, 2018",2018,37,Room 25,Noname,93,84,17,243,Self-released,['Rap']
"March 2, 2018",2018,9,Time Will Die and Love Will Bury It,Rolo Tomassi,92,72,7,88,Holy Roar,['Pop/Rock']
"November 9, 2018",2018,45,Holy Hell,Architects,90,89,8,129,Epitaph,"['Metal', 'Pop/Rock', 'Metalcore']"
"October 26, 2018",2018,43,Honey,Robyn,89,85,22,223,Interscope,"['Pop', 'Pop/Rock', 'Left-Field Pop']"
"September 5, 2018",2018,36,Safe In The Hands Of Love,Yves Tumor,89,80,9,94,Warp,"['Electronic', 'Pop/Rock', 'Experimental Ambient', 'Experimental Electronic']"
"March 30, 2018",2018,13,Golden Hour,Kacey Musgraves,89,87,18,498,MCA,['Country']
"September 21, 2018",2018,38,Chris,Christine and the Queens,89,79,26,104,Universal Music,['Pop/Rock']
"April 13, 2018",2018,15,Persona,Rival Consoles,88,78,10,49,Erased Tapes Records,['Electronic']
"March 23, 2018",2018,12,POST-,Jeff Rosenstock,88,78,11,86,Polyvinyl,['Pop/Rock']
"August 31, 2018",2018,35,Joy As an Act of Resistance,Idles,88,83,25,129,Partisan,['Pop/Rock']
"October 5, 2018",2018,40,I Loved You at Your Darkest,Behemoth,88,79,7,29,Metal Blade,"['Pop/Rock', 'Heavy Metal']"
"November 2, 2018",2018,44,Negative Capability,Marianne Faithfull,88,80,14,23,BMG,['Pop/Rock']
"April 27, 2018",2018,17,Dirty Computer,Janelle Monáe,87,86,33,0,Bad Boy,['R&B']
"February 16, 2018",2018,7,Twin Fantasy,Car Seat Headrest,87,86,21,209,Matador,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 2, 2018",2018,5,Microshift,Hookworms,87,78,18,61,Domino,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 9, 2018",2018,6,Cusp,Alela Diane,87,80,7,13,Allpoints,['Pop/Rock']
"November 9, 2018",2018,45,Cocoon Crush,Objekt,87,72,10,13,Pan,"['Electronic', 'Club/Dance']"
"October 26, 2018",2018,43,You Wont Get What You Want,Daughters,87,86,11,119,Ipecac,"['Pop/Rock', 'Alternative/Indie Rock', 'Noise-Rock']"
"August 17, 2018",2018,33,Be the Cowboy,Mitski,87,85,30,190,Dead Oceans Records,"['Pop/Rock', 'Alternative/Indie Rock']"
"June 8, 2018",2018,23,Soil,serpentwithfeet,87,79,15,44,Secretly Canadian,"['Pop', 'Electronic', 'R&B', 'Pop/Rock', 'Alternative/Indie Rock', 'Indie Electronic', 'Alternative R&B', 'Left-Field Pop']"
"February 16, 2018",2018,7,In a Poem Unlimited,US Girls,87,83,22,103,4AD,"['Pop/Rock', 'Alternative/Indie Rock']"
"March 9, 2018",2018,10,Cocoa Sugar,Young Fathers,87,87,21,149,Ninja Tune,['Rap']
"March 30, 2018",2018,13,Freedom,Amen Dunes,87,82,17,45,Sacred Bones,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock']"
"April 6, 2018",2018,14,Isolation,Kali Uchis,87,87,17,433,Virgin,['Pop/Rock']
"December 14, 2018",2018,50,Springsteen on Broadway,Bruce Springsteen,87,78,15,18,Columbia,['Pop/Rock']
"June 15, 2018",2018,24,Oil Of Every Pearls Un-Insides,SOPHIE,86,84,22,251,Future Classic,"['Electronic', 'Pop/Rock']"
"April 20, 2018",2018,16,Sparrow,Ashley Monroe,86,66,8,18,Warner Bros.,['Country']
"May 25, 2018",2018,21,Tracyanne Danny,Tracyanne Danny,86,73,8,13,Merge,"['Pop/Rock', 'Alternative/Indie Rock']"
"March 16, 2018",2018,11,Jericho Sirens,Hot Snakes,86,79,14,13,Sub Pop,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"June 8, 2018",2018,23,Remain In Light,Angélique Kidjo,86,82,11,0,N/A,['International']
"June 22, 2018",2018,25,Heaven Earth,Kamasi Washington,86,80,22,62,Young Turks,['Jazz']
"March 23, 2018",2018,12,Radyo Siwl,Mélissa Laveaux,86,0,,0,,[]
